Netflix,21 Maret 2026,1,Rp150.000,21 Februari 2026,14:30
Spotify,01 September 2026,6,Rp329.940,01 Maret 2026,09:15
YouTube Premium,08 Februari 2026,1,Rp65.000,08 Januari 2026,10:05
Google Drive,15 April 2027,12,Rp322.800,15 April 2026,20:45
iCloud+,30 November 2026,6,Rp90.000,30 Mei 2026,13:20
Adobe Creative Cloud,05 Agustus 2026,1,Rp389.000,05 Juli 2026,11:11
Canva Pro,12 September 2026,3,Rp285.000,12 Juni 2026,16:40
Microsoft 365,18 Agustus 2027,12,Rp948.000,18 Agustus 2026,08:55
Disney+ Hotstar,27 Desember 2026,3,Rp117.000,27 September 2026,19:30
ChatGPT Plus,10 Oktober 2027,1,Rp300.000,10 September 2027,15:25
Discord,19 Januari 2026,1,Rp100.000,19 Desember 2025,21:10
Netflix,21 April 2026,1,Rp150.000,21 Maret 2026,18:45
Spotify,01 April 2026,1,Rp54.990,01 Maret 2026,07:50
YouTube Premium,08 Mei 2026,3,Rp195.000,08 Februari 2026,12:15
Google Drive,15 Mei 2026,1,Rp26.900,15 April 2026,10:00
iCloud+,30 Mei 2027,12,Rp180.000,30 Mei 2026,14:05
Canva Pro,12 Juni 2027,12,Rp1.140.000,12 Juni 2026,09:30
Adobe Creative Cloud,05 Oktober 2026,3,Rp1.167.000,05 Juli 2026,15:55
Disney+ Hotstar,27 September 2027,12,Rp468.000,27 September 2026,17:20
ChatGPT Plus,10 November 2027,1,Rp300.000,10 Oktober 2027,22:15
YouTube Premium,08 Oktober 2026,4,Rp260.000,19 Desember 2025,21:23:44
YouTube Premium,08 Februari 2027,4,Rp260.000,19 Desember 2025,21:34:33
Google Drive,15 Desember 2026,8,Rp215.200,19 Desember 2025,21:35:00
Google Drive,15 Maret 2027,3,Rp80.700,19 Desember 2025,21:36:20
Spotify,01 Agustus 2026,2,Rp109.980,19 Desember 2025,21:36:45
